ID,名字,稱號,稀有度,屬性,武器種類,國別,性別,年齡,HP(Max),攻撃力(Max),攻擊體數,攻撃段數,攻擊距離,攻撃間隔,移動速度,韌性,成長,DPS,DPS(Total),火補正,水補正,風補正,光補正,暗補正
52007,ローダイン,貫槍盾の幸護,5,水,突撃,王国,女,34,13525,8775,2,1,15,2.88,45,88,平均,3047,6094,140,100,71,100,100
52008,ロッシェ,艶麗の珠飴,5,水,打撃,お菓子の国,男,12,7604,9930,3,1,130,2.64,53,45,早熟,3761,11284,160,100,63,100,100
52009,ナノン,溢する碧硝晶,5,水,銃弾,科学の国,女,21,6734,9836,5,1,195,3.32,43,16,早熟,2963,14813,110,100,91,100,100
52010,チアチール,歓娯の尖氷晶,5,水,弓矢,エレキの国,女,17,7350,17187,1,1,175,2.74,55,35,晩成,6273,6273,150,100,67,100,100
52011,アインレーラ,万象統ぐ緋眸,5,水,斬撃,魔法の国,男,28,12275,7700,3,1,15,2.75,50,77,平均,2800,8400,140,100,71,100,100
52012,パユ,零れ舞う雪華,5,水,魔法,雪の国,女,?,8182,10266,4,1,135,3.45,40,25,平均,2976,11903,200,100,50,100,100
52013,ウルナ,原威たる毅爪,5,水,突撃,恐竜の国,女,13,10164,11454,1,6,14,1.99,79,44,晩成,5756,5756,180,100,56,100,100
52014,カナカエイア,懐郷の月珊瑚,5,水,突撃,常夏の国,女,26,8910,10851,3,3,90,2.95,50,35,早熟,3678,11035,175,100,58,100,100
52015,イライアス,盈ち溢る心扉,5,水,魔法,王国,男,19,6680,15670,1,6,190,2.5,45,35,早熟,6268,6268,180,100,56,100,100
52016,ラピスラズリ,冬を齎す者,5,水,弓矢,妖精の国,女,25,7089,10250,3,3,170,2.57,47,30,早熟,3988,11965,170,100,59,100,100
52017,ルジャンドル,狂濤たる王蛇,5,水,銃弾,機械の国,男,17,6241,12623,3,3,175,3.03,44,33,平均,4166,12498,130,100,77,100,100
52018,アレッツ,夜を泳ぐ魔物,5,水,斬撃,王国,男,?,8799,10989,3,1,120,2.87,59,51,晩成,3829,11487,165,100,61,100,100
52019,アイオス,揺れ織る心響,5,水,回復,王国,男,27,7831,13713,1,8,185,2.74,42,30,早熟,5005,5005,100,150,100,100,100
52020,ユーリアン,鎮戒の騎士翁,5,水,斬撃,王国,男,52,10587,12882,1,5,22,2.38,64,64,晩成,5413,5413,155,100,65,100,100
52021,ノット,疾蒼の迅流輌,5,水,打撃,科学の国,男,25,11835,9685,2,1,35,2.74,74,70,平均,3535,7069,120,100,83,100,100
52022,パステーニャ,静謐望む興踊,5,水,回復,砂漠の国,女,17,7203,8073,3,3,175,2.41,50,33,早熟,3350,10049,100,150,100,100,100
52023,テイシュウ,神さびた残滓,5,水,突撃,少数民族の国,男,?,9715,9830,2,3,120,2.27,52,51,平均,4330,8661,175,100,58,100,100
52024,レスティエナ,漂流遊ぶ青蒼,5,水,銃弾,科学の国,女,15,6658,16342,1,1,180,2.82,52,38,早熟,5795,5795,145,100,69,100,100
52025,ナヴィシュカ,秘宝求む紺青,5,水,突撃,常夏の国,女,16,10989,6726,3,3,45,2.03,74,50,晩成,3313,9939,145,100,69,100,100
52026,サリハーティ,薄明に降る鳥,5,水,魔法,砂漠の国,女,16,6679,14083,2,4,140,2.86,56,32,晩成,4924,9848,190,100,53,100,100
52027,ベグラブル,大食招ず研餐,5,水,打撃,常夏の国,男,32,12378,9253,3,2,20,3.19,61,53,平均,2901,8703,130,100,77,100,100
53001,アウラ,弾道の覇者,5,風,銃弾,科学の国,女,18,6280,14356,1,8,130,2.5,52,44,早熟,5742,5742,77,130,100,100,100
53002,まつかぜ,風裂く飛燕,5,風,斬撃,和の国,男,21,10125,11375,1,5,22,1.9,82,22,平均,5987,5987,71,140,100,100,100
53003,モクレン,狐面の傾奇者,5,風,回復,和の国,男,20,9000,14490,1,8,155,2.8,44,32,晩成,5175,5175,100,100,150,100,100
53004,ユーヴェンス,勇鼓す戦神,5,風,打撃,王国,男,18,11960,12275,1,1,35,2.55,54,69,平均,4814,4814,71,140,100,100,100
53005,みおぎ,夢寐の傾城,5,風,魔法,和の国,女,28,5817,13242,3,1,175,3.16,47,38,晩成,4191,12572,53,190,100,100,100
53006,シルフィカ,静謐の扉守,5,風,突撃,妖精の国,女,21,10164,9381,3,3,85,2.51,68,33,晩成,3737,11212,59,170,100,100,100
53007,バシロ,骨兜の蛮風剱,5,風,斬撃,恐竜の国,男,?,12711,9552,2,1,15,3.04,45,86,早熟,3142,6284,67,150,100,100,100
53008,フロイレイダ,春を統べる者,5,風,魔法,妖精の国,女,32,6020,14385,2,5,170,2.78,55,35,平均,5174,10349,56,180,100,100,100
53009,ティフォネ,愛渦の螺旋,5,風,弓矢,妖精の国,女,18,6705,15570,1,1,170,2.58,63,36,早熟,6035,6035,67,150,100,100,100
53010,マルメラータ,莱姆の果醤姫,5,風,銃弾,お菓子の国,女,13,6420,17250,1,1,175,2.75,55,35,晩成,6273,6273,71,140,100,100,100
53011,アルセリア,残痕の守護壁,5,風,突撃,王国,女,21,13115,9380,2,1,15,2.91,47,85,平均,3223,6447,77,130,100,100,100
53012,シアノ,根繋たる半樹,5,風,回復,植物の国,女,?,7135,9205,3,4,190,2.6,39,29,平均,3540,10621,100,100,150,100,100
53013,パルトネール,貨動の爬機砲,5,風,銃弾,機械の国,女,16,6840,10260,5,1,175,3.4,45,20,平均,3018,15088,91,110,100,100,100
53014,アンテル,歌楽壇の唱帝,5,風,魔法,動物の国,男,23,6522,16422,1,6,180,2.55,47,40,晩成,6440,6440,56,180,100,100,100
53015,ノーフィール,継ぎ接ぐ虚無,5,風,打撃,エレキの国,男,23,12358,8544,3,1,15,3.03,50,83,平均,2820,8459,80,125,100,100,100
53016,レテネーブル,卵殻に眠る骨,5,風,弓矢,死者の国,不明,?,6474,9896,4,2,170,2.8,50,40,平均,3534,14137,63,160,100,100,100
53017,すずかぜ,九尾の霊狐,5,風,魔法,和の国,不明,?,7672,10212,3,5,90,2.56,54,29,晩成,3989,11967,53,190,100,100,100
53018,ブレイデン,幽幻なる呪果,5,風,突撃,植物の国,男,?,9193,8554,5,2,100,3.14,46,44,平均,2724,13621,65,155,100,100,100
53019,アルトナ,汝を護る咆哮,5,風,弓矢,恐竜の国,男,20,7121,13646,2,4,175,2.69,49,45,平均,5073,10146,65,155,100,100,100
53020,フィーユ,月雫翅の秋殻,5,風,魔法,妖精の国,女,?,7053,10513,4,3,180,3.29,59,31,平均,3195,12782,54,185,100,100,100
53021,ヴェレッド,戯の愉楽椅子,5,風,斬撃,死者の国,女,17,9177,12402,2,3,70,2.72,52,40,平均,4560,9119,65,155,100,100,100
53022,ベレリィナ,奉唱の沫雪翼,5,風,回復,雪の国,女,15,8128,7324,3,2,145,2.32,52,44,晩成,3157,9471,100,100,150,100,100
53023,セルヴォルク,開闢の絶縁首,5,風,斬撃,エレキの国,男,不明,13811,9271,1,1,15,2.49,47,90,早熟,3723,3723,80,125,100,100,100
53024,アシュレイ,天球翔る星影,5,風,銃弾,魔法の国,男,17,6895,13252,2,3,165,2.68,46,45,晩成,4945,9890,63,160,100,100,100
53025,アンダント,緑音導く楽長,5,風,魔法,植物の国,男,23,8230,15030,1,7,140,2.65,58,45,平均,5672,5672,53,190,100,100,100
53026,リンネン,破星の因果律,5,風,銃弾,少数民族の国,女,19,5838,12078,3,3,170,2.82,50,30,晩成,4283,12849,67,150,100,100,100
53027,アルキメシス,嚆の禁装機公,5,風,弓矢,機械の国,男,?,7975,13875,1,4,135,2.45,55,45,平均,5663,5663,71,140,100,100,100
53028,ベルデライト,晶眼の四剣装,5,風,斬撃,エレキの国,男,14,12460,6910,4,2,15,2.88,53,77,平均,2399,9596,69,145,100,100,100
54001,キャロル,跳ね翔る煌兎,5,光,突撃,動物の国,女,16,11100,6215,3,3,45,1.95,70,54,平均,3187,9562,92,92,92,100,130
54002,ファーラ,神薙ぎの娘,5,光,回復,妖精の国,女,16,7310,8110,3,1,175,2.6,48,43,平均,3119,9358,100,100,100,150,100
54003,レイ,優しき雷帝,5,光,魔法,エレキの国,女,16,7525,10690,3,5,80,2.7,63,23,平均,3959,11878,84,84,84,100,190
54004,ロシャナク,終焉の灯火,5,光,斬撃,砂漠の国,女,25,13125,9540,2,1,15,2.8,46,83,晩成,3407,6814,88,88,88,100,160
54005,トレノセリカ,天墜ちる雷霆,5,光,弓矢,エレキの国,男,19,7358,15113,1,1,165,2.5,57,47,早熟,6045,6045,88,88,88,100,160
54006,グレゴトール,盤陸裂く雷鎚,5,光,打撃,西部の国,男,43,11395,6820,4,1,35,2.65,53,70,平均,2574,10294,88,88,88,100,160
54007,フランシール,覆世の白夜,5,光,魔法,お菓子の国,女,17,6525,12522,3,1,180,3.0,50,30,晩成,4174,12522,86,86,86,100,170
54008,ヘルメトレス,閉環の黄昏月,5,光,突撃,魔法の国,不明,?,11307,12273,1,4,20,2.4,57,57,平均,5114,5114,88,88,88,100,160
54009,ミシェリア,暁光の聖女,5,光,魔法,空の国,女,16,6642,16605,1,6,185,2.52,52,36,晩成,6589,6589,88,88,88,100,160
54010,ディラ,千竜を狩る獣,5,光,打撃,恐竜の国,女,22,10838,13070,1,1,35,2.83,76,67,早熟,4618,4618,94,94,94,100,120
54011,リュカリュカ,星降りの弦月,5,光,突撃,魔法の国,女,19,9914,10543,3,3,85,2.77,57,27,平均,3806,11418,88,88,88,100,160
54012,ラユシフ,帥賊の獄囚,5,光,斬撃,王国,男,42,10687,12711,1,5,22,2.5,62,68,早熟,5084,5084,88,88,88,100,160
54013,アメトリン,籠檻繋ぐ柔枷,5,光,銃弾,エレキの国,女,21,6040,13700,2,3,175,2.77,47,41,平均,4946,9892,90,90,90,100,140
54014,フリューゲル,舞奏でる白譜,5,光,魔法,動物の国,女,16,7320,10611,4,3,175,3.35,55,35,早熟,3167,12670,85,85,85,100,180
54015,レノンポルド,沈まぬ翁月,5,光,銃弾,常夏の国,男,73,6906,17874,1,5,180,2.85,45,55,晩成,6272,6272,92,92,92,100,130
54016,サキュラ,巌窟の黒骨弓,5,光,弓矢,恐竜の国,女,23,6448,9432,5,1,175,3.09,44,49,平均,3052,15262,90,90,90,100,140
54017,ノーヴィアス,繰り牽く耀糸,5,光,斬撃,科学の国,男,23,12423,6910,4,2,15,2.77,57,74,晩成,2495,9978,90,90,90,100,140
54018,マリィナ,夏浜に躍る錨,5,光,打撃,常夏の国,女,17,12702,9402,2,1,15,2.87,49,84,晩成,3276,6552,91,91,91,100,135
54019,アロロア,森羅悟る賢師,5,光,弓矢,西部の国,不明,?,6935,11600,3,2,170,2.77,52,39,晩成,4188,12563,87,87,87,100,165
54020,オキサリッタ,改花する偏愛,5,光,銃弾,植物の国,女,22,6209,8359,5,1,180,3.17,46,17,平均,2637,13186,97,97,97,100,110
54021,テンライ,天泣の儚幻魂,5,光,打撃,少数民族の国,女,?,7935,10320,3,1,130,2.77,57,38,平均,3726,11177,87,87,87,100,165
54022,エデンエリス,思召待つ緋金,5,光,魔法,空の国,女,12,5831,14274,2,5,180,2.71,59,34,晩成,5267,10534,86％,86％,86％,100％,170％
54023,シエット,白光宿す旋槍,5,光,突撃,王国,女,15,10252,6053,3,1,35,1.86,67,70,早熟,3254,9763,88,88,88,100,155
54024,アンティーク,鉄仕掛の舞姫,5,光,突撃,機械の国,女,5,9621,9621,2,2,20,2.11,83,31,平均,4560,9119,93,93,93,100,125
54025,ひもろき,燦弓射る祭縁,5,光,弓矢,和の国,女,10,6862,13482,2,3,140,2.99,59,33,早熟,4509,9018,88,88,88,100,160
54026,ラッテ,白恋注ぐ純心,5,光,回復,お菓子の国,女,17,8296,14335,1,8,190,2.76,43,29,晩成,5194,5194,100,100,100,150,100
55001,コーネリア,天涯の訪問者,5,闇,弓矢,空の国,女,21,8175,16425,1,1,155,2.7,60,38,晩成,6083,6083,89,89,89,150,100
55002,ジェラルド,機操術の神童,5,闇,打撃,機械の国,男,10,13875,7700,3,1,20,3.0,50,60,平均,2567,7700,94,94,94,120,100
55003,ハルシュト,夜明く銀の獣,5,闇,突撃,動物の国,女,24,12300,11655,1,4,20,2.35,60,64,晩成,4960,4960,88,88,88,160,100
55004,ミスティカ,夜の契約者,5,闇,魔法,死者の国,女,17,8020,10422,4,1,135,3.7,41,24,早熟,2817,11267,83,83,83,200,100
55005,イヴ,蒼穹の愛天使,5,闇,回復,空の国,女,16,7245,11190,2,1,170,2.44,47,35,晩成,4586,9172,100,100,100,100,150
55006,シトルイユ,夢牢楼の住人,5,闇,魔法,死者の国,不明,?,6410,13290,3,2,170,3.21,57,33,平均,4140,12421,92,92,92,130,100
55007,トーリス,鉱麓の守護者,5,闇,銃弾,機械の国,男,19,7135,16415,1,5,170,2.66,51,47,平均,6171,6171,89,89,89,150,100
55008,クレア,孤高の烈刃,5,闇,斬撃,エレキの国,女,16,9117,13104,2,3,65,2.85,55,55,晩成,4598,9196,89,89,89,150,100
55009,ロレッタ,天衝の二刃,5,闇,斬撃,機械の国,女,13,13290,9635,1,2,15,2.32,46,87,平均,4153,4153,92,92,92,130,100
55010,ティーゼ,螺拗の晶燦灰,5,闇,銃弾,科学の国,女,15,5788,11122,3,3,165,2.72,48,38,早熟,4089,12267,90,90,90,140,100
55011,ハリエット,夢紡ぐ陶指,5,闇,魔法,死者の国,不明,?,6098,13688,2,5,175,2.64,47,37,平均,5185,10370,88,88,88,160,100
55012,マーガレット,刺込む荊棘牙,5,闇,弓矢,お菓子の国,女,?,6883,12028,2,4,180,2.44,51,29,早熟,4930,9859,88,88,88,160,100
55013,サミルスハ,呪われし血族,5,闇,突撃,砂漠の国,女,?,10200,6964,3,1,45,2.11,63,62,早熟,3300,9901,86,86,86,170,100
55014,ヴェロニカ,溢れ穿つ氷禍,5,闇,打撃,雪の国,女,28,7885,10935,3,1,135,2.88,49,40,平均,3797,11391,88,88,88,160,100
55015,メルレッティ,愛逢の裁縫箱,5,闇,魔法,雪の国,女,24,6472,9597,5,2,175,3.21,44,34,平均,2990,14949,86,86,86,175,100
55016,たいてんき,天を戴く傲鬼,5,闇,打撃,和の国,女,10,12434,10484,1,2,15,2.58,52,85,早熟,4064,4064,90,90,90,140,100
55017,ミルトニア,咲き誇る慈我,5,闇,回復,植物の国,女,18,7607,7323,3,2,150,2.42,55,40,早熟,3026,9078,100,100,100,100,150
55018,アーデウス（魔法）,天賦なる才翼,5,闇,魔法,空の国,男,17,6648,16425,1,5,170,2.72,51,43,晩成,6039,6039,86,86,86,170,100
55019,アーデウス（銃弾）,天賦なる才翼,5,闇,銃弾,空の国,男,17,6648,14574,1,1,165,2.9,51,43,晩成,5026,5026,91,91,91,135,100
55020,イリス,空を繋ぐ虹龍,5,闇,突撃,王国,女,11,9385,10255,2,3,115,2.4,56,48,早熟,4273,8546,86,86,86,170,100
55021,ファジュル,暗夜の琥珀姫,5,闇,銃弾,砂漠の国,女,19,6642,12392,2,3,170,2.58,56,39,早熟,4803,9606,90,90,90,145,100
55022,フィト,久遠希む原種,5,闇,斬撃,植物の国,男,15,12092,8147,3,1,15,2.84,56,75,晩成,2868,8606,90,90,90,145,100
55023,ディスノルド,権謀詭計の艦,5,闇,銃弾,常夏の国,男,26,6889,15784,1,8,140,2.69,49,48,晩成,5868,5868,91,91,91,135,100
55024,ちいまる,暁闇這う蜘蛛,5,闇,斬撃,和の国,男,27,9826,9201,3,2,35,2.44,74,39,平均,3771,11313,89,89,89,150,100
55025,パストルメ,月色覆う孤狼,5,闇,斬撃,動物の国,女,15,8436,9722,3,1,115,2.62,63,45,早熟,3711,11132,89,89,89,150,100
55026,スケアヘッド,追求せし己益,5,闇,銃弾,王国,男,30,7320,9268,4,1,120,3.31,53,46,早熟,2800,11200,96,96,96,115,100
41001,イース,熱誠の英雄,4,炎,斬撃,王国,男,23,9300,10625,1,1,18,2.35,57,57,平均,4521,4521,100,67,150,100,100
41002,エルフェッロ,遊侠の勝負師,4,炎,銃弾,西部の国,男,28,6655,8054,2,1,115,2.22,48,41,早熟,3628,7256,100,77,130,100,100
41003,ことぶき,恩寵の巫女,4,炎,魔法,和の国,女,18,5493,12024,3,1,170,3.30,48,32,晩成,3644,10931,100,56,180,100,100
41004,ザウル,酒仙の風来人,4,炎,突撃,少数民族の国,男,40,10100,8500,2,1,40,2.80,63,65,平均,3036,6071,100,77,130,100,100
41005,シャルドネ,煌めく浪費家,4,炎,銃弾,魔法の国,女,17,5850,10725,2,1,125,2.55,46,39,平均,4206,8412,100,71,140,100,100
41006,チュール,爛漫な蝶妖精,4,炎,弓矢,妖精の国,女,17,6260,13725,1,1,160,2.44,64,33,平均,5625,5625,100,63,160,100,100
41007,ベルナー,盲愛の擁護人,4,炎,打撃,動物の国,男,21,10900,11425,1,1,35,3.10,52,66,平均,3685,3685,100,83,120,100,100
41008,ともえ,求道の戦巫女,4,炎,斬撃,和の国,女,18,8470,8810,1,1,18,1.90,60,44,早熟,4637,4637,100,71,140,100,100
41009,ヘザー,空劫の祭司,4,炎,回復,植物の国,女,20,4670,7600,3,1,165,2.50,43,29,早熟,3040,9120,140,100,100,100,100
41010,キャンディス,圧潰する星球,4,炎,打撃,雪の国,女,17,10685,7410,3,3,35,3.25,56,64,平均,2280,6840,100,71,140,100,100
41011,スヴァログ,高楼の観察者,4,炎,魔法,砂漠の国,男,?,5105,10417,2,2,175,2.92,46,39,早熟,3567,7135,100,59,170,100,100
41012,メランコリ,茫哀の燐焔晶,4,炎,魔法,エレキの国,女,12,5736,15474,1,4,165,2.77,53,35,晩成,5586,5586,100,59,170,100,100
41013,アトリトッテ,薬草園の魔女,4,炎,斬撃,魔法の国,女,16,9018,7737,2,1,105,2.30,51,43,晩成,3364,6728,115,77,150,100,100
41014,フィーリ,隠弾の海諜,4,炎,銃弾,常夏の国,男,22,5388,13480,1,1,165,2.55,52,47,早熟,5286,5286,100,67,150,100,100
41015,ミャオピン,弧辿る踵武,4,炎,突撃,少数民族の国,女,16,7959,9642,1,1,11,1.77,77,44,晩成,5447,5447,100,59,170,100,100
41016,ラヴィオル,紅煌たる聖槍,4,炎,突撃,空の国,男,28,12265,6200,3,1,15,3.00,49,85,平均,2067,6200,100,71,140,100,100
41017,アーサー,焔軌を奔る者,4,炎,打撃,常夏の国,男,19,9245,9850,1,1,30,2.63,57,57,早熟,3745,3745,100,67,150,100,100
41018,エルグ,鹿角の頭領,4,炎,弓矢,動物の国,男,25,5993,8791,3,1,165,2.59,58,47,早熟,3394,10183,100,71,140,100,100
41019,フルルメリィ,秋統べる紅翅,4,炎,銃弾,妖精の国,女,22,6192,9642,4,1,175,3.39,52,30,晩成,2844,11377,100,77,130,100,100
41020,ホロロ,亡邑の彷徨花,4,炎,魔法,少数民族の国,女,17,4613,11079,2,3,170,2.66,52,34,早熟,4165,8330,100,53,190,100,100
41021,タルトレード,想菓の創り手,4,炎,突撃,お菓子の国,男,19,6395,8695,1,1,95,1.81,55,52,平均,4804,4804,100,67,150,100,100
41022,ピコニィ,熱触れる白肌,4,炎,弓矢,科学の国,女,21,6012,10743,2,1,160,2.74,56,38,晩成,3921,7842,100,71,140,100,100
41023,ロワローゼン,王鍵の門番,4,炎,斬撃,植物の国,男,?,8150,10100,1,3,20,2.00,80,40,平均,5050,5050,100,67,150,100,100
41024,ラハティア,映心の桃焔鏡,4,炎,回復,魔法の国,女,16,4594,11438,1,5,165,2.29,53,34,早熟,4995,4995,140,100,100,100,100
41025,こんこ,妖桜の狐火,4,炎,弓矢,和の国,女,22,5520,13045,1,4,170,2.34,47,34,平均,5575,5575,100,67,150,100,100
41026,セレナ,鳥籠の歌姫,4,炎,魔法,動物の国,女,23,4311,8697,4,1,175,2.95,44,34,早熟,2948,11793,100,56,180,100,100
41027,アーテリオ,愉快な薬創医,4,炎,回復,科学の国,男,?,4505,8755,2,1,160,2.84,46,41,平均,3083,6165,140,100,100,100,100
41028,トロイメライ,夢餐の獏魔女,4,炎,魔法,魔法の国,女,15,6693,12988,1,5,145,2.64,48,40,早熟,4920,4920,100,59,170,100,100
41029,ヴェルメラ,灼鋼の解体屋,4,炎,打撃,機械の国,女,17,11815,9865,1,1,15,2.84,46,80,平均,3474,3474,100,74,135,100,100
41030,アシクス,焦跡の竜騎手,4,炎,突撃,恐竜の国,男,18,8160,8520,2,1,30,2.50,69,51,晩成,3408,6816,100,67,150,100,100
41031,スヴィー,融氷の心炉,4,炎,打撃,雪の国,女,?,6292,9838,2,2,110,2.42,54,45,晩成,4065,8131,100,67,150,100,100
41032,アマーリエ,手折れぬ凛華,4,炎,斬撃,科学の国,女,20,6636,11283,1,1,13,2.22,67,49,晩成,5082,5082,100,77,130,100,100
41033,チェルカール,耽縛の赤い糸,4,炎,突撃,科学の国,女,23,6806,7411,3,3,100,2.28,54,42,早熟,3250,9751,100,71,140,100,100
41034,ジューチェ,焔晶の放埓,4,炎,斬撃,エレキの国,女,20,12030,8385,1,2,15,2.45,51,81,平均,3422,3422,100,77,130,100,100
41035,カルフィ,灰煙の熱焼砲,4,炎,銃弾,機械の国,女,19,7398,12966,1,4,125,2.88,44,52,晩成,4502,4502,100,71,140,100,100
41036,ルナーティア,漠識の紫鳥,4,炎,弓矢,魔法の国,女,18,5790,7955,4,1,165,2.71,51,37,平均,2935,11742,100,69,145,100,100
41037,ティーガー,勿忘の罪痕,4,炎,打撃,お菓子の国,男,22,9420,10425,1,1,25,2.65,55,65,晩成,3934,3934,100,83,120,100,100
41038,スフィノー,焔薫の黒刃,4,炎,斬撃,恐竜の国,女,16,7241,7506,3,2,25,2.41,65,61,早熟,3115,9344,100,67,150,100,100
41039,シュルーラ,紅珠の陽照姫,4,炎,打撃,砂漠の国,女,21,9261,5874,4,1,35,2.88,60,55,晩成,2039,8156,100,74,135,100,100
41040,ブーゲリア,散り揺る苞片,4,炎,魔法,植物の国,男,25,5535,11505,3,2,170,3.21,45,40,晩成,3584,10752,100,54,185％,100,100
41041,ラッドストー,石路走る焔弾,4,炎,銃弾,エレキの国,男,41,5916,9642,2,1,140,2.55,50,55,晩成,3781,7562,100,71,140,100,100
41042,ヴァーディル,紅廻の盤刃,4,炎,斬撃,西部の国,男,22,6693,9207,1,3,70,1.67,65,45,早熟,5513,5513,100,67,150,100,100
41043,ピッツェル,薄紅の誘戯,4,炎,突撃,空の国,女,17,6655,7430,2,3,105,2.02,64,44,早熟,3678,7356,100,77,130,100,100
